40000000,Carthago Films S.a.r.l.,France,Roman Polanski,Adventure,1641825,Piratas,PG-13,18/07/1986,121,6.1,Walter Matthau,6596,John Brownjohn,1986,-38358175,Jul,-95.8954375,317.576579,11147.55249,5.70221E-06
10000000,Touchstone Pictures,USA,Jeff Kanew,Comedy,21458229,Tough Guys,PG,3/10/1986,104,6.2,Burt Lancaster,5584,James Orr,1986,11458229,Oct,114.58229,317.576579,11147.55249,0.000298252
12000000,Cinema Group Ventures,USA,Roger Spottiswoode,Comedy,7790931,The Best of Times,PG-13,31/01/1986,104,5.9,Robin Williams,5523,Ron Shelton,1986,-4209069,Jan,-35.075575,317.576579,11147.55249,9.02378E-05
2000000,Paragon Arts International,UK,Kevin Tenney,Horror,7369373,Witchboard,R,13/03/1987,98,5.7,Todd Allen,4744,Kevin Tenney,1986,5369373,Mar,268.46865,317.576579,11147.55249,0.000512144
14000000,Touchstone Pictures,USA,Paul Mazursky,Comedy,62134225,Down and Out in Beverly Hills,R,31/01/1986,103,6.1,Nick Nolte,13569,René Fauchois,1986,48134225,Jan,343.8158929,317.576579,11147.55249,0.000616872
8500000,Capital Equipment Leasing,UK,Trevor Nunn,Biography,277646,Lady Jane,PG-13,7/2/1986,136,7.2,Helena Bonham Carter,5364,Chris Bryant,1986,-8222354,Feb,-96.73357647,317.576579,11147.55249,4.53725E-06
18000000,Producers Sales Organization (PSO),USA,Hal Ashby,Action,1305114,8 Million Ways to Die,R,25/04/1986,115,5.7,Jeff Bridges,3607,Lawrence Block,1986,-16694886,Apr,-92.74936667,317.576579,11147.55249,1.0075E-05
8000000,Cannon Group,USA,J. Lee Thompson,Action,11834302,Firewalker,PG,21/11/1986,104,5,Chuck Norris,4752,Robert Gosnell,1986,3834302,Nov,47.928775,317.576579,11147.55249,0.000205608
3300000,Amaretto Films,USA,Richard Wenk,Comedy,4941117,Vamp,R,18/07/1986,93,5.9,Chris Makepeace,3909,Donald P. Borchers,1986,1641117,Jul,49.73081818,317.576579,11147.55249,0.000208113
15000000,Warner Bros.,USA,Harold Ramis,Comedy,12308521,Club Paradise,PG-13,11/7/1986,96,4.9,Robin Williams,5049,Harry Shearer,1986,-2691479,Jul,-17.94319333,317.576579,11147.55249,0.000114051
40000000,Universal Pictures,USA,Ivan Reitman,Comedy,49851591,Legal Eagles,PG,20/06/1986,116,5.9,Robert Redford,8374,Ivan Reitman,1986,9851591,Jun,24.6289775,317.576579,11147.55249,0.000173223
13000000,Metro-Goldwyn-Mayer (MGM),USA,Brian De Palma,Comedy,8475466,Wise Guys,R,18/04/1986,100,5.6,Danny DeVito,4573,George Gallo,1986,-4524534,Apr,-34.80410769,317.576579,11147.55249,9.06151E-05
17000000,HandMade Films,UK,Jim Goddard,Adventure,2315683,Shanghai Surprise,PG-13,29/08/1986,97,3.1,Sean Penn,4339,John Kohn,1986,-14684317,Aug,-86.37833529,317.576579,11147.55249,1.89303E-05
16000000,Lorimar Productions,USA,Sidney Lumet,Drama,3800000,Power,R,31/01/1986,111,5.7,Richard Gere,2287,David Himmelstein,1986,-12200000,Jan,-76.25,317.576579,11147.55249,3.30081E-05
20000000,De Laurentiis Entertainment Group (DEG),USA,Bruce Beresford,Comedy,22905500,Crimes of the Heart,PG-13,23/01/1987,105,6.4,Diane Keaton,3079,Beth Henley,1986,2905500,Jan,14.5275,317.576579,11147.55249,0.000159183
6000000,Golan-Globus Productions,USA,J. Lee Thompson,Action,9947631,Murphy's Law,R,18/04/1986,100,5.9,Charles Bronson,3561,Gail Morgan Hickman,1986,3947631,Apr,65.79385,317.576579,11147.55249,0.00023044
