Company,Budget,Director,Profit,Star,Month,Writer,Gross
Miramax,25000000,Troy Nixey,-957510,Katie Holmes,8,Guillermo del Toro,24042490
Dharma Productions,12000000,Karan Johar,-7981305,Shah Rukh Khan,2,Shibani Bathija,4018695
Universal Pictures,32000000,Miguel Sapochnik,-18205165,Jude Law,3,Eric Garcia,13794835
Regency Enterprises,20000000,Jason Friedberg,16661504,Jenn Proske,8,Jason Friedberg,36661504
Bad Robot,40000000,Roger Michell,-8988268,Rachel McAdams,11,Aline Brosh McKenna,31011732
Not specified,15000000,John Wells,-10560937,Ben Affleck,2,John Wells,4439063
Twentieth Century Fox Film Corporation,48000000,Michael Lembeck,12022256,Dwayne Johnson,1,Lowell Ganz,60022256
Glass Eye Pix,650000,Jim Mickle,-631531,Connor Paolo,12,Nick Damici,18469
Walt Disney Pictures,35000000,Randall Wallace,24713955,Diane Lane,10,Mike Rich,59713955
Realitism Films,500000,Quentin Dupieux,-401983,Stephen Spinella,11,Quentin Dupieux,98017
Mediapro,22000000,Woody Allen,-18752184,Anthony Hopkins,10,Woody Allen,3247816
Hero Entertainment,13000000,Michael Winterbottom,-12785034,Casey Affleck,12,John Curran,214966
Twentieth Century Fox Film Corporation,112000000,Rob Letterman,-69220739,Jack Black,12,Joe Stillman,42779261
Les Productions du Trésor,25000000,Guillaume Canet,-24793912,François Cluzet,10,Guillaume Canet,206088
Broadway Video,10000000,Jorma Taccone,-1539005,Will Forte,5,Will Forte,8460995
Paramount Pictures,3000000,Tod Williams,81752907,Katie Featherston,10,Michael R. Perry,84752907
Strike Entertainment,1800000,Daniel Stamm,39234350,Patrick Fabian,8,Huck Botko,41034350
Millennium Films,22000000,John Curran,-20203976,Edward Norton,10,Angus MacLachlan,1796024
New Line Cinema,32000000,Nanette Burstein,-14195701,Drew Barrymore,9,Geoff LaTulippe,17804299
Last Picture Company The,7000000,Spencer Susser,-6617054,Joseph Gordon-Levitt,6,Spencer Susser,382946
Annapurna Productions,8000000,Mitch Glazer,-7996331,Mickey Rourke,7,Mitch Glazer,3669
The Weinstein Company,4000000,Abe Sylvia,-3946370,Juno Temple,7,Abe Sylvia,53630
Omega Entertainment,12500000,Tony Goldwyn,-5716871,Hilary Swank,11,Pamela Gray,6783129
GK Films,25000000,William Monahan,-24993089,Colin Farrell,11,William Monahan,6911
American Film Company The,25000000,Robert Redford,-13461796,Robin Wright,4,James D. Solomon,11538204
Miramax,20000000,Julie Taymor,-19722057,Helen Mirren,1,Julie Taymor,277943
Scott Free Productions,7000000,Jay Duplass,455447,John C. Reilly,7,Mark Duplass,7455447
Warner Bros.,80000000,Eric Brevig,20246011,Dan Aykroyd,12,J.R. Ventimilia,100246011
Screen Gems,15000000,Shana Feste,5218921,Garrett Hedlund,1,Shana Feste,20218921
Stacey Testro International,500000,Nick Tomnay,-451570,David Hyde Pierce,5,Nick Tomnay,48430
Ealing Studios,10000000,John Landis,-9995167,Bill Bailey,9,Piers Ashworth,4833
Aramid Entertainment Fund,25000000,Taylor Hackford,-24865096,Helen Mirren,1,Mark Jacobson,134904
Audley Films,7200000,Nigel Cole,-6105202,Sally Hawkins,6,William Ivory,1094798
10th Hole Productions,4500000,Galt Niederhoffer,-4396720,Katie Holmes,5,Galt Niederhoffer,103280
Temple Hill Entertainment,5000000,Dan Rush,-2288790,Will Ferrell,10,Dan Rush,2711210
Rogue,45000000,Sngmoo Lee,-39335749,Dong-gun Jang,12,Sngmoo Lee,5664251
Rogue,25000000,Wes Craven,-10362510,Max Thieriot,10,Wes Craven,14637490
CBS Films,31000000,Tom Vaughan,-19145306,Brendan Fraser,1,Robert Nelson Jacobs,11854694
ArieScope Pictures,800000,Adam Green,-738000,Danielle Harris,11,Adam Green,62000
Twentieth Century Fox Film Corporation,50000000,Tom Dey,-16355212,Owen Wilson,6,Tim Rasmussen,33644788
Hyde Park Films,20000000,Kevin Munroe,-18816646,Brandon Routh,4,Thomas Dean Donnelly,1183354
An Olive Branch Productions,15000000,George Hickenlooper,-13960131,Kevin Spacey,1,Norman Snider,1039869
Company Films,12000000,Malcolm Venville,-11898118,Keanu Reeves,1,Sacha Gervasi,101882
CD2 Films,85000000,Brad Peyton,-41414247,Bette Midler,7,Ron J. Friedman,43585753
Summit Entertainment,35000000,Roger Kumble,-17403744,Brendan Fraser,4,Michael Carnes,17596256
Herrick Entertainment,10000000,Brad Anderson,-9977803,Hayden Christensen,2,Anthony Jaswinski,22197
Tiny Ponies,65000,Lena Dunham,324804,Lena Dunham,3,Lena Dunham,389804
Lions Gate Family Entertainment,20000000,Anthony Bell,5077977,Hayden Panettiere,9,Chris Denk,25077977
Warner Bros.,125000000,David Yates,256011219,Daniel Radcliffe,7,Steve Kloves,381011219
Universal Pictures,163000000,Jon Favreau,-62759449,Daniel Craig,7,Roberto Orci,100240551
Walt Disney Pictures,250000000,Rob Marshall,-8928198,Johnny Depp,5,Ted Elliott,241071802
FilmDistrict,15000000,Nicolas Winding Refn,20060689,Ryan Gosling,9,Hossein Amini,35060689
DreamWorks,25000000,Tate Taylor,144708112,Emma Stone,8,Tate Taylor,169708112
Carousel Productions (II),50000000,Glenn Ficarra,34351197,Steve Carell,7,Dan Fogelman,84351197
Columbia Pictures,90000000,David Fincher,12515793,Daniel Craig,12,Steven Zaillian,102515793
Universal Pictures,32500000,Paul Feig,136606725,Kristen Wiig,5,Kristen Wiig,169106725
Warner Bros.,82000000,Zack Snyder,-45607498,Emily Browning,3,Zack Snyder,36392502
Paramount Pictures,150000000,Kenneth Branagh,31030624,Chris Hemsworth,5,Ashley Miller,181030624
Paramount Pictures,140000000,Joe Johnston,36654505,Chris Evans,7,Christopher Markus,176654505
Lionsgate,25000000,Gavin O'Connor,-11342885,Tom Hardy,9,Gavin O'Connor,13657115
Twentieth Century Fox Film Corporation,160000000,Matthew Vaughn,-13591695,James McAvoy,6,Ashley Miller,146408305
Warner Bros.,200000000,Martin Campbell,-83398828,Ryan Reynolds,6,Greg Berlanti,116601172
Relativity Media,27000000,Neil Burger,52249455,Bradley Cooper,3,Leslie Dixon,79249455
Relativity Media,75000000,Tarsem Singh,8504017,Henry Cavill,11,Charley Parlapanides,83504017
Paramount Pictures,50000000,J.J. Abrams,77004179,Elle Fanning,6,J.J. Abrams,127004179
Twentieth Century Fox Film Corporation,93000000,Rupert Wyatt,83760185,James Franco,8,Rick Jaffa,176760185
Screen Gems,60000000,Scott Stewart,-30863374,Paul Bettany,5,Cory Goodman,29136626
Paramount Pictures,195000000,Michael Bay,157390543,Shia LaBeouf,6,Ehren Kruger,352390543
Regency Enterprises,40000000,Andrew Niccol,-2479905,Justin Timberlake,10,Andrew Niccol,37520095
Twentieth Century Fox Film Corporation,50000000,Cameron Crowe,25624550,Matt Damon,12,Aline Brosh McKenna,75624550
Mediapro,17000000,Woody Allen,39816662,Owen Wilson,6,Woody Allen,56816662
Summit Entertainment,32000000,Duncan Jones,22712227,Jake Gyllenhaal,4,Ben Ripley,54712227
Paramount Pictures,145000000,Brad Bird,64397903,Tom Cruise,12,Bruce Geller,209397903
Columbia Pictures,80000000,Dennis Dugan,23028109,Adam Sandler,2,Allan Loeb,103028109
Lionsgate,40000000,Brad Furman,18009200,Matthew McConaughey,3,John Romano,58009200
New Line Cinema,35000000,Seth Gordon,82538559,Jason Bateman,7,Michael Markowitz,117538559
DreamWorks,60000000,D.J. Caruso,-4899563,Alex Pettyfer,2,Alfred Gough,55100437
See-Saw Films,6500000,Steve McQueen,-2499696,Michael Fassbender,3,Steve McQueen,4000304
Dimension Films,40000000,Wes Craven,-1819072,Neve Campbell,4,Kevin Williamson,38180928
Screen Gems,35000000,Will Gluck,20802754,Mila Kunis,7,Keith Merryman,55802754
Columbia Pictures,20000000,Jake Kasdan,80292856,Cameron Diaz,6,Gene Stupnitsky,100292856
Paramount Pictures,150000000,Martin Scorsese,-76135493,Asa Butterfield,11,John Logan,73864507
Snoot Entertainment,1000000,Adam Wingard,17474268,Sharni Vinson,8,Simon Barrett,18474268
Columbia Pictures,50000000,Bennett Miller,25605492,Brad Pitt,9,Steven Zaillian,75605492
Focus Features,15000000,Lone Scherfig,-1156229,Anne Hathaway,8,David Nicholls,13843771
Paramount Pictures,25000000,Ivan Reitman,45662220,Natalie Portman,1,Elizabeth Meriwether,70662220
Summit Entertainment,110000000,Bill Condon,171287133,Kristen Stewart,11,Melissa Rosenberg,281287133
BBC Films,7000000,Lynne Ramsay,-5261308,Tilda Swinton,1,Lynne Ramsay,1738692
Warner Bros.,125000000,Guy Ritchie,61848418,Robert Downey Jr.,12,Michele Mulroney,186848418
Zentropa Entertainments,7400000,Lars von Trier,-4370130,Kirsten Dunst,7,Lars von Trier,3029870
Universal Pictures,125000000,Justin Lin,84837675,Vin Diesel,4,Chris Morgan,209837675
Focus Features,30000000,Joe Wright,10259119,Saoirse Ronan,4,Seth Lochhead,40259119
Universal Pictures,50200000,George Nolfi,12295645,Matt Damon,3,George Nolfi,62495645
Blue Haze Entertainment,13000000,Pedro Almodóvar,-9814188,Antonio Banderas,12,Thierry Jonquet,3185812
Open Road Films (II),25000000,Joe Carnahan,26580136,Liam Neeson,1,Joe Carnahan,51580136
DreamWorks,110000000,Shawn Levy,-24531492,Hugh Jackman,10,John Gatins,85468508
Paramount Pictures,135000000,Gore Verbinski,-11522393,Johnny Depp,3,John Logan,123477607
Code Red,6000000,Lance Daly,-5995894,Orlando Bloom,8,John Enbom,4106
Morgan Creek Productions,38000000,Matthijs van Heijningen Jr.,-21071330,Mary Elizabeth Winstead,10,Eric Heisserer,16928670
Millennium Films,90000000,Marcus Nispel,-68704979,Jason Momoa,8,Thomas Dean Donnelly,21295021
Cottonwood Pictures,32000000,Terrence Malick,-18696681,Brad Pitt,10,Terrence Malick,13303319
Fox Searchlight Pictures,20000000,Alexander Payne,62584160,George Clooney,12,Alexander Payne,82584160
Universal Pictures,40000000,Greg Mottola,-2587055,Simon Pegg,3,Simon Pegg,37412945
Universal Pictures,52000000,David Dobkin,-14918525,Jason Bateman,8,Jon Lucas,37081475
Warner Bros.,60000000,Steven Soderbergh,15658097,Matt Damon,9,Scott Z. Burns,75658097
Asghar Farhadi Productions,500000,Asghar Farhadi,6598492,Payman Maadi,4,Asghar Farhadi,7098492
Paramount Pictures,24000000,Craig Brewer,27802742,Kenny Wormald,10,Dean Pitchford,51802742
Lionsgate,35000000,John Singleton,-6912845,Taylor Lautner,9,Shawn Christensen,28087155
Voltage Pictures,11000000,William Friedkin,-9012238,Matthew McConaughey,6,Tracy Letts,1987762
Enticing Entertainment,18000000,Sean McNamara,25853424,AnnaSophia Robb,4,Sean McNamara,43853424
Summit Entertainment,75000000,Paul W.S. Anderson,-54622087,Logan Lerman,10,Alex Litvak,20377913
Summit Entertainment,8000000,Jonathan Levine,27014192,Joseph Gordon-Levitt,9,Will Reiser,35014192
New Line Cinema,36000000,Bobby Farrelly,9060734,Owen Wilson,2,Pete Jones,45060734
Warner Bros.,80000000,Todd Phillips,174464305,Bradley Cooper,5,Craig Mazin,254464305
Walt Disney Pictures,200000000,John Lasseter,-8547604,Owen Wilson,6,John Lasseter,191452396
Pt. Merantau Films,1100000,Gareth Evans,3005123,Iko Uwais,4,Gareth Evans,4105123
Columbia Pictures,135000000,Steven Spielberg,-57408169,Jamie Bell,12,Hergé,77591831
EuropaCorp,40000000,Olivier Megaton,-3334146,Zoe Saldana,8,Luc Besson,36665854
Universal Pictures,49900000,David Gordon Green,-28303555,Danny McBride,4,Danny McBride,21596445
DreamWorks,66000000,Steven Spielberg,13884879,Jeremy Irvine,12,Lee Hall,79884879
Universal Pictures,45000000,Oliver Parker,-36694030,Rowan Atkinson,10,Hamish McColl,8305970
CBS Films,40000000,Simon West,-10878502,Jason Statham,1,Richard Wenk,29121498
Columbia Pictures,12500000,George Clooney,28462534,Paul Giamatti,10,George Clooney,40962534
Studio 37,15000000,Michel Hazanavicius,29671682,Jean Dujardin,1,Michel Hazanavicius,44671682
Imagine Entertainment,35000000,Clint Eastwood,2306030,Leonardo DiCaprio,11,Dustin Lance Black,37306030
Columbia Pictures,70000000,Jonathan Liebesman,13552429,Aaron Eckhart,3,Christopher Bertolini,83552429
Before The Door Pictures,3500000,J.C. Chandor,1854039,Zachary Quinto,9,J.C. Chandor,5354039
DreamWorks,30000000,Craig Gillespie,-11701351,Anton Yelchin,8,Marti Noxon,18298649
Twentieth Century Fox Animation,90000000,Carlos Saldanha,53619809,Jesse Eisenberg,4,Carlos Saldanha,143619809
Columbia Pictures,110000000,Raja Gosnell,32614158,Hank Azaria,7,J. David Stem,142614158
Paramount Vantage,250000,Drake Doremus,3163908,Felicity Jones,1,Drake Doremus,3413908
StudioCanal,13000000,Joe Cornish,-11975825,John Boyega,5,Joe Cornish,1024175
Hydraulx,5000000,Jeff Nichols,-3270031,Michael Shannon,11,Jeff Nichols,1729969
Dark Castle Entertainment,30000000,Jaume Collet-Serra,33686397,Liam Neeson,2,Oliver Butcher,63686397
CBS Films,17000000,Daniel Barnz,10865571,Alex Pettyfer,3,Daniel Barnz,27865571
New Line Cinema,40000000,Steven Quale,2587643,Nicholas D'Agosto,8,Eric Heisserer,42587643
DreamWorks Animation,150000000,Jennifer Yuh Nelson,15249063,Jack Black,5,Jonathan Aibel,165249063
Harvey Boys The,4000000,Kevin Smith,-2895318,Michael Parks,9,Kevin Smith,1104682
Artists Public Domain,100000,Mike Cahill,1216074,Brit Marling,10,Mike Cahill,1316074
Columbia Pictures,57000000,Mark Neveldine,-5225998,Nicolas Cage,2,Scott M. Gimple,51774002
Warner Bros.,42000000,Catherine Hardwicke,-4337838,Amanda Seyfried,3,David Leslie Johnson,37662162
Screen Gems,16000000,Christian E. Christiansen,21300107,Minka Kelly,2,Sonny Mallhi,37300107
Fox 2000 Pictures,38000000,Francis Lawrence,20709717,Robert Pattinson,4,Richard LaGravenese,58709717
Relativity Media,23000000,Steven Soderbergh,-4057604,Gina Carano,1,Lem Dobbs,18942396
Regency Enterprises,20000000,Mark Mylod,-5991807,Anna Faris,9,Gabrielle Allan,14008193
Screen Gems,25000000,Rod Lurie,-14675559,James Marsden,9,Rod Lurie,10324441
Rogue Pictures,23000000,Michael Dowse,-16076109,Topher Grace,3,Jackie Filgo,6923891
Universal Pictures,75000000,Brett Ratner,3046570,Eddie Murphy,11,Adam Cooper,78046570
Summit Entertainment,50000000,Patrick Lussier,-39293214,Nicolas Cage,2,Todd Farmer,10706786
Blueprint Pictures,10000000,John Madden,36412041,Judi Dench,5,Ol Parker,46412041
Cliffjack Motion Pictures,55000000,Jim Sheridan,-33716560,Daniel Craig,9,David Loucka,21283440
New Line Cinema,56000000,Garry Marshall,-1455362,Sarah Jessica Parker,12,Katherine Fugate,54544638
Universal Pictures,30000000,Tom Hanks,5608245,Tom Hanks,7,Tom Hanks,35608245
Omnilab Media,70000000,Gary McKendry,-44875014,Jason Statham,9,Matt Sherring,25124986
New Line Cinema,37000000,Mikael Håfström,-3952367,Colin O'Donoghue,1,Michael Petroni,33047633
Dimension Films,27000000,Robert Rodriguez,11538188,Jessica Alba,8,Robert Rodriguez,38538188
Fox 2000 Pictures,20000000,Thomas Bezucha,3186769,Selena Gomez,7,Thomas Bezucha,23186769
Reprisal Films,6000000,John Michael McDonagh,-640226,Brendan Gleeson,7,John Michael McDonagh,5359774
Warner Bros.,40000000,Stephen Daldry,-8152119,Thomas Horn,1,Eric Roth,31847881
Alcon Entertainment,35000000,Luke Greenfield,4046489,Ginnifer Goodwin,5,Jennie Snyder Urman,39046489
GK Films,45000000,Bruce Robinson,-31899958,Johnny Depp,10,Bruce Robinson,13100042
Pathé,13000000,Phyllida Lloyd,17017992,Meryl Streep,1,Abi Morgan,30017992
SBS Productions,25000000,Roman Polanski,-22452953,Jodie Foster,4,Yasmina Reza,2547047
Dark Sky Films,750000,Ti West,-672499,Sara Paxton,4,Ti West,77501
Universal Pictures,70000000,Ron Howard,-21524710,Vince Vaughn,1,Allan Loeb,48475290
Columbia Pictures,28000000,Ruben Fleischer,9053924,Jesse Eisenberg,8,Michael Diliberti,37053924
Columbia Pictures,120000000,Michel Gondry,-21219958,Seth Rogen,1,Seth Rogen,98780042
Millennium Films,35000000,Joel Schumacher,-34983184,Nicolas Cage,5,Karl Gajdusek,16816
Walt Disney Pictures,45000000,James Bobin,43631237,Amy Adams,11,Jason Segel,88631237
Summit Entertainment,30000000,Chris Gorak,-8573195,Emile Hirsch,12,Jon Spaihts,21426805
Atlas Entertainment,40000000,Dominic Sena,-15172772,Nicolas Cage,1,Bragi F. Schut,24827228
Touchstone Pictures,36000000,Kelly Asbury,63967670,James McAvoy,2,Rob Sprackling,99967670
Anchor Bay Films,12000000,Jonathan Hensleigh,-10812289,Ray Stevenson,5,Jonathan Hensleigh,1187711
Semtex Films,15000000,Madonna,-14416545,Abbie Cornish,7,Madonna,583455
Mandalay Vision,5000000,Richard Linklater,4203192,Jack Black,6,Skip Hollandsworth,9203192
Focus Features,25000000,Kevin Macdonald,-5509959,Channing Tatum,2,Jeremy Brock,19490041
Relativity Media,30000000,Marc Forster,-29461310,Gerard Butler,2,Jason Keller,538690
Elle Driver,2000000,Chris Kentis,10555230,Elizabeth Olsen,3,Gustavo Hernández,12555230
Columbia Pictures,79000000,Dennis Dugan,-4841843,Adam Sandler,11,Steve Koren,74158157
Endgame Entertainment,17000000,Roger Donaldson,-16958919,Nicolas Cage,1,Todd Hickey,41081
DreamWorks Animation,130000000,Chris Miller,19260504,Antonio Banderas,10,Tom Wheeler,149260504
Paramount Pictures,12000000,Jason Reitman,4311571,Charlize Theron,12,Diablo Cody,16311571
Universal Pictures,63000000,Tim Hill,45085305,Russell Brand,4,Cinco Paul,108085305
Incentive Filmed Entertainment,25000000,David R. Ellis,-6127478,Sara Paxton,9,Will Hayes,18872522
Alcon Entertainment,37000000,Charles Martin Smith,35286779,Morgan Freeman,9,Karen Janszen,72286779
Columbia Pictures,80000000,Frank Coraci,360843,Kevin James,7,Nick Bakay,80360843
Summit Entertainment,21000000,Jodie Foster,-20029184,Mel Gibson,6,Kyle Killen,970816
Twentieth Century Fox Film Corporation,55000000,Mark Waters,13224452,Jim Carrey,6,Sean Anders,68224452
Columbia Pictures,30000000,Roland Emmerich,-25536708,Rhys Ifans,12,John Orloff,4463292
Beijing New Picture Film Co.,94000000,Yimou Zhang,-93990787,Christian Bale,12,Heng Liu,9213
Instinctive Film,3000000,Xavier Gens,-2978000,Lauren German,4,Karl Mueller,22000
Lightstream Entertainment,12000000,Oren Moverman,-11030761,Woody Harrelson,2,James Ellroy,969239
Fox 2000 Pictures,21000000,David Bowers,31698535,Zachary Gordon,3,Gabe Sachs,52698535
Walt Disney Pictures,30000000,Stephen J. Anderson,-3307154,Jim Cummings,7,Stephen J. Anderson,26692846
Rhombus Media,3000000,Jason Eisener,-2296998,Rutger Hauer,5,John Davies,703002
Warner Bros.,135000000,George Miller,-70993534,Elijah Wood,11,George Miller,64006466
Universal Pictures,30000000,Alister Grierson,-6929955,Rhys Wakefield,2,John Garvin,23070045
Paramount Pictures,5000000,Henry Joost,99007828,Chloe Csengery,10,Christopher Landon,104007828
Red Granite Pictures,10000000,Jennifer Westfeldt,-2749946,Jennifer Westfeldt,3,Jennifer Westfeldt,7250054
Big Beach Films,5000000,Jesse Peretz,19814830,Paul Rudd,8,Jesse Peretz,24814830
New Line Cinema,19000000,Todd Strauss-Schulson,16033759,Kal Penn,11,Jon Hurwitz,35033759
Fox Searchlight Pictures,14000000,Kenneth Lonergan,-13953505,Anna Paquin,6,Kenneth Lonergan,46495
Mockingbird Pictures,8000000,Rodrigo García,-4985304,Glenn Close,6,Gabriella Prekop,3014696
Dimension Films,5000000,Gonzalo López-Gallego,12686929,Warren Christie,9,Brian Miller,17686929
Annapurna Productions,7000000,Aaron Harvey,-6998113,Malin Akerman,1,Aaron Harvey,1887
Fox 2000 Pictures,75000000,Mike Mitchell,58110742,Justin Long,12,Jonathan Aibel,133110742
Carver Films,2000000,Justin Kurzel,-1991988,Lucas Pittaway,5,Shaun Grant,8012
Warner Bros.,40000000,Jason Winer,-6964603,Russell Brand,4,Peter Baynham,33035397
TriStar Pictures,2000000,Alex Kendrick,32522221,Alex Kendrick,9,Alex Kendrick,34522221
Fox 2000 Pictures,41000000,David Frankel,-33795862,Owen Wilson,10,Howard Franklin,7204138
Rickshaw Productions,8000000,Joe Nussbaum,2130219,Aimee Teegarden,4,Katie Wech,10130219
GK Films,13000000,Angelina Jolie,-12696123,Zana Marjanovic,2,Angelina Jolie,303877
Foresight Unlimited,10000000,Matthew Chapman,-9994824,Charlie Hunnam,5,Matthew Chapman,5176
Eros International,10920000,Imtiaz Ali,-9934088,Ranbir Kapoor,11,Imtiaz Ali,985912
Atlas Productions,20000000,Paul Johansson,-15247647,Taylor Schilling,4,Brian Patrick O'Toole,4752353
Safran Company The,5000000,Rob Minkoff,-4998902,Patrick Dempsey,5,Jon Lucas,1098
Antena 3 Films,13000000,Juan Carlos Fresnadillo,-12930864,Clive Owen,4,Nicolás Casariego,69136
TriStar Pictures,6600000,Salim Akil,30695394,Paula Patton,5,Elizabeth Hunter,37295394
Studio Ghibli,22000000,Gorô Miyazaki,-20997105,Sarah Bolger,7,Tetsurô Sayama,1002895
Regency Enterprises,32000000,John Whitesell,5915414,Martin Lawrence,2,Matt Fogel,37915414
Excel Entertainment,16700000,Farhan Akhtar,-13019694,Shah Rukh Khan,12,Farhan Akhtar,3680306
Magic Violet,8000000,Geoffrey Fletcher,-7982814,Saoirse Ronan,6,Geoffrey Fletcher,17186
Warner Bros.,250000000,Christopher Nolan,198139099,Christian Bale,7,Jonathan Nolan,448139099
The Weinstein Company,100000000,Quentin Tarantino,62805434,Jamie Foxx,12,Quentin Tarantino,162805434
Lionsgate,78000000,Gary Ross,330010692,Jennifer Lawrence,3,Gary Ross,408010692
Marvel Studios,220000000,Joss Whedon,403357910,Robert Downey Jr.,5,Joss Whedon,623357910
Twentieth Century Fox Film Corporation,130000000,Ridley Scott,-3522916,Noomi Rapace,6,Jon Spaihts,126477084
New Line Cinema,180000000,Peter Jackson,123003568,Martin Freeman,12,Fran Walsh,303003568
Brownstone Productions (II),17000000,Jason Moore,48001093,Anna Kendrick,10,Kay Cannon,65001093
Paramount Pictures,60000000,Christopher McQuarrie,20070736,Tom Cruise,12,Lee Child,80070736
Summit Entertainment,13000000,Stephen Chbosky,4738570,Logan Lerman,10,Stephen Chbosky,17738570
Cloud Atlas Productions,102000000,Tom Tykwer,-74891728,Tom Hanks,10,David Mitchell,27108272
Summit Entertainment,120000000,Bill Condon,172298923,Kristen Stewart,11,Melissa Rosenberg,292298923
Lionsgate,30000000,Drew Goddard,12073277,Kristen Connolly,4,Joss Whedon,42073277
Working Title Films,61000000,Tom Hooper,87809770,Hugh Jackman,12,William Nicholson,148809770
Indian Paintbrush,16000000,Wes Anderson,29512466,Jared Gilman,6,Wes Anderson,45512466
Eon Productions,200000000,Sam Mendes,104360277,Daniel Craig,11,Ian Fleming,304360277
Columbia Pictures,42000000,Phil Lord,96447667,Jonah Hill,3,Michael Bacall,138447667
Universal Pictures,209000000,Peter Berg,-143577375,Alexander Skarsgård,5,Jon Hoeber,65422625
Endgame Entertainment,30000000,Rian Johnson,36486205,Joseph Gordon-Levitt,9,Rian Johnson,66486205
Columbia Pictures,40000000,Kathryn Bigelow,55720716,Jessica Chastain,1,Mark Boal,95720716
Roth Films,170000000,Rupert Sanders,-14667619,Kristen Stewart,6,Evan Daugherty,155332381
The Weinstein Company,21000000,David O. Russell,111092958,Bradley Cooper,12,David O. Russell,132092958
Universal Pictures,50000000,Jon Hurwitz,7011521,Jason Biggs,4,Jon Hurwitz,57011521
Warner Bros.,150000000,Tim Burton,-70272851,Johnny Depp,5,Seth Grahame-Smith,79727149
Columbia Pictures,230000000,Marc Webb,32030663,Andrew Garfield,7,James Vanderbilt,262030663
Sidney Kimmel Entertainment,15000000,Derek Cianfrance,6383298,Ryan Gosling,4,Derek Cianfrance,21383298
Warner Bros.,44500000,Ben Affleck,91525503,Ben Affleck,10,Chris Terrio,136025503
Danmarks Radio (DR),3800000,Thomas Vinterberg,-3112815,Mads Mikkelsen,12,Tobias Lindholm,687185
Iron Horse Entertainment (II),7000000,Steven Soderbergh,106721571,Channing Tatum,6,Reid Carolin,113721571
Universal Pictures,125000000,Tony Gilroy,-11796130,Jeremy Renner,8,Tony Gilroy,113203870
Mediaset España,45000000,J.A. Bayona,-25980118,Naomi Watts,1,Sergio G. Sánchez,19019882
Muse Productions,5000000,Harmony Korine,9123773,Vanessa Hudgens,3,Harmony Korine,14123773
Walt Disney Animation Studios,165000000,Rich Moore,24422889,John C. Reilly,11,Rich Moore,189422889
Walt Disney Pictures,185000000,Mark Andrews,52283207,Kelly Macdonald,6,Brenda Chapman,237283207
DNA Films,35000000,Pete Travis,-21585286,Karl Urban,9,John Wagner,13414714
The Weinstein Company,26000000,John Hillcoat,11400127,Tom Hardy,8,Nick Cave,37400127
Alliance Films,3000000,Scott Derrickson,45086903,Ethan Hawke,10,Scott Derrickson,48086903
Walt Disney Pictures,250000000,Andrew Stanton,-176921900,Taylor Kitsch,3,Andrew Stanton,73078100
DreamWorks,65000000,Steven Spielberg,117207973,Daniel Day-Lewis,11,Tony Kushner,182207973
New Line Cinema,75000000,Adam Shankman,-36481387,Julianne Hough,6,Justin Theroux,38518613
Columbia Pictures,225000000,Barry Sonnenfeld,-45979146,Will Smith,5,Etan Cohen,179020854
Paramount Pictures,31000000,Robert Zemeckis,62772375,Denzel Washington,11,John Gatins,93772375
Universal Pictures,50000000,Seth MacFarlane,168815487,Mark Wahlberg,6,Seth MacFarlane,218815487
The Weinstein Company,32000000,Paul Thomas Anderson,-15622726,Philip Seymour Hoffman,9,Paul Thomas Anderson,16377274
Exclusive Media Group,7000000,David Ayer,34003371,Jake Gyllenhaal,9,David Ayer,41003371
Fox 2000 Pictures,120000000,Ang Lee,4987023,Suraj Sharma,11,Yann Martel,124987023
Columbia Pictures,85000000,Genndy Tartakovsky,63313048,Adam Sandler,9,Peter Baynham,148313048
Overbrook Entertainment,65000000,McG,-10239209,Reese Witherspoon,2,Timothy Dowling,54760791
Columbia Pictures,70000000,Sean Anders,-33068911,Adam Sandler,6,David Caspe,36931089
Screen Gems,30000000,Michael Sucsy,95014030,Rachel McAdams,2,Abby Kohn,125014030
Green Hat Films,12000000,Nima Nourizadeh,42731865,Thomas Mann,3,Matt Drake,54731865
Total Recall,125000000,Len Wiseman,-66122031,Colin Farrell,8,Kurt Wimmer,58877969
Ixtlan,45000000,Oliver Stone,2382068,Aaron Taylor-Johnson,7,Shane Salerno,47382068
Paramount Pictures,65000000,Larry Charles,-5349778,Sacha Baron Cohen,5,Sacha Baron Cohen,59650222
CBS Films,15000000,Martin McDonagh,24049,Colin Farrell,10,Martin McDonagh,15024049
Samuel Goldwyn Films,2000000,Jon Kasdan,-1982939,Dylan O'Brien,2,Jon Kasdan,17061
Apatow Productions,35000000,Judd Apatow,32544505,Paul Rudd,12,Judd Apatow,67544505
Warner Bros.,25000000,Scott Hicks,35457138,Zac Efron,4,Will Fetters,60457138
DreamWorks Animation,145000000,Peter Ramsey,-41587242,Hugh Jackman,11,David Lindsay-Abaire,103412758
Warner Bros.,150000000,Jonathan Liebesman,-66329917,Sam Worthington,3,Dan Mazeau,83670083
New Line Cinema,79000000,Brad Peyton,24860290,Josh Hutcherson,2,Brian Gunn,103860290
Davis-Films,20000000,Michael J. Bassett,-2470843,Adelaide Clemens,10,Michael J. Bassett,17529157
Universal Pictures,85000000,Daniel Espinosa,41373434,Denzel Washington,2,David Guggenheim,126373434
Fox Searchlight Pictures,8000000,Jonathan Dayton,-5459894,Paul Dano,11,Zoe Kazan,2540106
