Company,Budget,Director,Profit,Star,Month,Writer,Gross
Orion Pictures,15000000,Roger Donaldson,20509515,Kevin Costner,8,Kenneth Fearing,35509515
Amercent Films,20000000,James L. Brooks,31249404,William Hurt,12,James L. Brooks,51249404
New Century Entertainment Corporation,2500000,Tibor Takács,11039458,Stephen Dorff,5,Michael Nankin,13539458
Cannon Films,17000000,Sidney J. Furie,-1318980,Christopher Reeve,7,Joe Shuster,15681020
Laurel Entertainment Inc.,3500000,Michael Gornick,10500000,George Kennedy,5,Stephen King,14000000
Atlantic Entertainment Group,3000000,Christopher Leitch,4888703,Jason Bateman,11,Jeph Loeb,7888703
Columbia Pictures Industries,12000000,Fred Schepisi,28050884,Steve Martin,6,Edmond Rostand,40050884
Rastar Pictures,12000000,Herbert Ross,54995879,Michael J. Fox,4,Jim Cash,66995879
Applied Action,20000000,Tom Mankiewicz,37387516,Dan Aykroyd,6,Dan Aykroyd,57387516
TriStar Pictures,18000000,Blake Edwards,21321715,Kim Basinger,3,Dale Launer,39321715
Atlantic Entertainment Group,1000000,Rod Amateau,576615,Anthony Newley,8,Linda Palmer,1576615
Orion Pictures,14000000,Danny DeVito,43915972,Danny DeVito,12,Stu Silver,57915972
Golan-Globus Productions,3000000,Barbet Schroeder,221568,Mickey Rourke,10,Charles Bukowski,3221568
Universal Pictures,6000000,Phil Joanou,-2314138,Casey Siemaszko,10,Richard Christian Matheson,3685862
Amercent Films,15000000,James Toback,-1709632,Molly Ringwald,9,James Toback,13290368
Orion Pictures,16000000,Woody Allen,-1207221,Mia Farrow,1,Woody Allen,14792779
Emshell Producers,3000000,John R. Cherry III,20509382,Jim Varney,5,John R. Cherry III,23509382
Columbia Pictures Corporation,17000000,Ridley Scott,-6721451,Tom Berenger,10,Howard Franklin,10278549
Universal Pictures,29000000,Richard Attenborough,-23100203,Denzel Washington,11,John Briley,5899797
Fourth Protocol,6000000,John Mackenzie,6423831,Michael Caine,8,George Axelrod,12423831
Home Box Office (HBO),27000000,Hector Babenco,-19606654,Jack Nicholson,2,William Kennedy,7393346
Cannon Group,5000000,J. Lee Thompson,1880310,Charles Bronson,11,Brian Garfield,6880310
Amercent Films,18000000,Jonathan Kaplan,532286,Matthew Broderick,4,Lawrence Lasker,18532286
Cannon Films,4000000,Ruggero Deodato,-3200000,David Paul,3,Alberto Piferi,800000
Columbia Pictures Corporation,55000000,Elaine May,-40624819,Warren Beatty,5,Elaine May,14375181
Conquering Unicorn,100000,Robert Townsend,5128617,Robert Townsend,3,Robert Townsend,5228617
Carolco Entertainment,22000000,Walter Hill,-10692156,Nick Nolte,4,John Milius,11307844
Cannon Group,350000,Sam Firstenberg,3650000,Michael Dudikoff,5,Gary Conway,4000000
Cinecom Entertainment Group,4000000,John Sayles,-2319642,Chris Cooper,6,John Sayles,1680358
Columbia Pictures,24000000,Paul Weiland,-19083129,Bill Cosby,12,Jonathan Reynolds,4916871
Golan-Globus Productions,5000000,Jerry Schatzberg,-3880888,Christopher Reeve,3,David Freeman,1119112
Gladden Entertainment,9000000,Michael Cimino,-3593121,Christopher Lambert,10,Mario Puzo,5406879
De Laurentiis Entertainment Group (DEG),7000000,Bob Giraldi,19441,Jon Cryer,11,Joe Menosky,7019441
Orion Pictures,10000000,Harley Cokeliss,-6939142,Burt Reynolds,5,Christopher Frank,3060858
Samuel Goldwyn Company The,6000000,Mike Hodges,-4567313,Mickey Rourke,9,Jack Higgins,1432687
Columbia Pictures,5300000,Michael Radford,-2192449,Sarah Miles,5,James Fox,3107551
Rollins-Joffe Productions,10000000,Woody Allen,-9513566,Elaine Stritch,12,Woody Allen,486434
Independent Film Centre,3520000,Lance Hool,-2957813,Patrick Swayze,3,Doug Lefler,562187
Empire Pictures,1300000,Renny Harlin,-945296,Lane Smith,12,Irwin Yablans,354704
Warner Bros.,25000000,Martin Ritt,5950002,Barbra Streisand,12,Tom Topor,30950002
Bandai Films,11000000,Barry Levinson,14411386,Richard Dreyfuss,3,Barry Levinson,25411386
De Laurentiis Entertainment Group (DEG),7500000,William Friedkin,-6703632,Michael Biehn,10,William P. Wood,796368
Vista Organization,3000000,Amy Holden Jones,6868521,Ally Sheedy,7,Amy Holden Jones,9868521
Commies From Mars Corporation,1000000,Alex Cox,-789800,Sy Richardson,6,Alex Cox,210200
Silent Night Releasing Corporation,100000,Lee Harry,54323,Eric Freeman,4,Michael Hickey,154323
De Laurentiis Entertainment Group (DEG),8000000,Tom McLoughlin,-6011038,Phoebe Cates,11,Tom McLoughlin,1988962
In-Cine Compañía Industrial Cinematográfica,5800000,Alex Cox,-5542957,Ed Harris,12,Rudy Wurlitzer,257043
TriStar Pictures,19000000,Roger Young,-16771049,Michael Keaton,7,Daniel Taplitz,2228951
Golan-Globus Productions,5000000,Peter R. Hunt,1075793,Charles Bronson,1,Richard Sale,6075793
Titan Productions,75000,David DeCoteau,-61867,Linnea Quigley,10,Dave Eisenstark,13133
TriStar Pictures,12000000,Robert Benton,-6330169,Jeff Bridges,8,Robert Benton,5669831
Conquest Productions,1100000,Jeff Burr,255728,Vincent Price,9,C. Courtney Joyner,1355728
Golan-Globus Productions,5000000,Norman Mailer,-4141750,Ryan O'Neal,9,Norman Mailer,858250
New World Entertainment Films,4000000,Bill Condon,-3256555,Eric Stoltz,2,Bill Condon,743445
Cannon Group,15000000,Jerry Belson,-9288024,Sally Field,10,Jerry Belson,5711976
Paramount Pictures,14000000,Michael Apted,6240502,Richard Pryor,1,Denis Hamill,20240502
De Laurentiis Entertainment Group (DEG),12000000,John D. Hancock,-9674556,Nick Nolte,10,Dorothy Tristan,2325444
Geffen Company The,15000000,Tim Burton,58707461,Alec Baldwin,3,Michael McDowell,73707461
Eddie Murphy Productions,39000000,John Landis,89152300,Eddie Murphy,6,Eddie Murphy,128152300
United Artists,9000000,Tom Holland,24244684,Catherine Hicks,11,Don Mancini,33244684
Twentieth Century Fox Film Corporation,28000000,John McTiernan,55008852,Bruce Willis,7,Roderick Thorp,83008852
Metro-Goldwyn-Mayer (MGM),35000000,Ron Howard,22269863,Val Kilmer,5,George Lucas,57269863
New World Pictures,3000000,Michael Lehmann,-1891538,Winona Ryder,3,Daniel Waters,1108462
United Artists,25000000,Barry Levinson,147825435,Dustin Hoffman,12,Barry Morrow,172825435
Alive Films,4000000,John Carpenter,9008928,Roddy Piper,11,Ray Nelson,13008928
Touchstone Pictures,70000000,Robert Zemeckis,86452370,Bob Hoskins,6,Gary K. Wolf,156452370
American Entertainment Partners II L.P.,18000000,Penny Marshall,96968774,Tom Hanks,6,Gary Ross,114968774
Touchstone Pictures,20000000,Roger Donaldson,58222753,Tom Cruise,7,Heywood Gould,78222753
Cristaldifilm,5000000,Giuseppe Tornatore,6990401,Philippe Noiret,2,Giuseppe Tornatore,11990401
TriStar Pictures,19000000,Chuck Russell,-10752057,Shawnee Smith,8,Theodore Simonson,8247943
De Laurentiis Entertainment Group (DEG),3500000,Stan Winston,885516,Lance Henriksen,1,Ed Justin,4385516
Metro-Goldwyn-Mayer (MGM),7500000,Charles Crichton,55993712,John Cleese,8,John Cleese,63493712
Sarlui / Diamant,2000000,Stephen Chiodo,13625095,Grant Cramer,5,Charles Chiodo,15625095
Universal Pictures,30000000,Martin Brest,8413606,Robert De Niro,7,George Gallo,38413606
Film Futures,3000000,Tony Randel,8090735,Doug Bradley,12,Clive Barker,11090735
Orion Pictures,15000000,Alan Parker,19603943,Gene Hackman,1,Chris Gerolmo,34603943
Paramount Pictures,12000000,David Zucker,66041829,Leslie Nielsen,12,Jerry Zucker,78041829
Cannon International,1100000,Newt Arnold,10706119,Jean-Claude Van Damme,4,Sheldon Lettich,11806119
Twentieth Century Fox Film Corporation,28000000,Mike Nichols,36000000,Melanie Griffith,12,Kevin Wade,64000000
Paramount Pictures,14000000,John Cornell,95305000,Paul Hogan,5,Paul Hogan,109305000
Universal Pictures,12500000,Don Bluth,35592846,Pat Hingle,11,Stu Krieger,48092846
Universal Pictures,15000000,Ivan Reitman,96936400,Arnold Schwarzenegger,12,William Davies,111936400
Lorimar Film Entertainment,14000000,Stephen Frears,20700000,Glenn Close,2,Christopher Hampton,34700000
The Saul Zaentz Company,17000000,Philip Kaufman,-6993194,Daniel Day-Lewis,2,Milan Kundera,10006806
Trancas International Films,5000000,Dwight H. Little,12768757,Donald Pleasence,10,Dhani Lipsius,17768757
Morgan Creek Productions,13000000,Christopher Cain,32661556,Emilio Estevez,8,John Fusco,45661556
Carolco Pictures,29000000,Walter Hill,5994648,Arnold Schwarzenegger,6,Walter Hill,34994648
Night Life Inc.,6000000,Donald Petrie,6793213,Annabeth Gish,10,Amy Holden Jones,12793213
Carolco Pictures,63000000,Peter MacDonald,-9284389,Sylvester Stallone,5,David Morrell,53715611
Paramount Pictures,6000000,Jonathan Kaplan,26069318,Kelly McGillis,10,Tom Topor,32069318
Universal Pictures,7000000,Martin Scorsese,630564,Willem Dafoe,3,Nikos Kazantzakis,7630564
New Line Cinema,2000000,John Waters,4671108,Sonny Bono,2,John Waters,6671108
New Line Cinema,13000000,Renny Harlin,36369899,Robert Englund,8,Wes Craven,49369899
Hughes Entertainment,24000000,Howard Deutch,17455230,Dan Aykroyd,6,John Hughes,41455230
