New Line Cinema,USA,Renny Harlin,Horror,R,Robert Englund,Wes Craven
Hughes Entertainment,USA,Howard Deutch,Comedy,PG,Dan Aykroyd,John Hughes
The Mount Company,USA,Ron Shelton,Comedy,R,Kevin Costner,Ron Shelton
Warner Bros.,USA,Andrew Davis,Action,R,Steven Seagal,Andrew Davis
De Laurentiis Entertainment Group (DEG),UK,Julien Temple,Comedy,PG,Geena Davis,Julie Brown
Walt Disney Feature Animation,USA,George Scribner,Animation,G,Joey Lawrence,Jim Cox
Warner Bros.,USA,Buddy Van Horn,Action,R,Clint Eastwood,Harry Julian Fink
NBC Productions,USA,James Signorelli,Comedy,PG-13,Cassandra Peterson,Sam Egan
Paramount Pictures,USA,Richard Donner,Comedy,PG-13,Bill Murray,Mitch Glazer
Cinema City Films,USA,Robert Towne,Crime,R,Mel Gibson,Robert Towne
Warner Bros.,USA,Roman Polanski,Crime,R,Harrison Ford,Roman Polanski
Paramount Pictures,USA,John Carl Buechler,Horror,R,Jennifer Banko,Daryl Haney
Twentieth Century Fox Film Corporation,USA,Greg Beeman,Comedy,PG-13,Corey Haim,Neil Tolkin
Prominent Features,UK,Terry Gilliam,Adventure,PG,John Neville,Charles McKeown
Morgan Creek Productions,Canada,David Cronenberg,Drama,R,Jeremy Irons,David Cronenberg
Metro-Goldwyn-Mayer (MGM),USA,Gary Sherman,Horror,PG-13,Heather O'Rourke,Gary Sherman
Vista Organization,USA,Tommy Lee Wallace,Comedy,R,William Ragsdale,Tom Holland
Front Films,USA,Keenen Ivory Wayans,Action,R,Keenen Ivory Wayans,Keenen Ivory Wayans
Zacharias-Buhai Productions,USA,Bud S. Smith,Comedy,R,Anthony Michael Hall,Steve Zacharias
Shapiro-Glickenhaus Entertainment,USA,William Lustig,Action,R,Tom Atkins,Larry Cohen
Orion Pictures,USA,Jonathan Demme,Comedy,R,Michelle Pfeiffer,Barry Strugatz
Orion Pictures,USA,Dennis Hopper,Action,R,Sean Penn,Michael Schiffer
Vision PDG,Ireland,Neil Jordan,Comedy,PG-13,Peter O'Toole,Neil Jordan
Double Play,USA,Sidney Lumet,Crime,PG-13,River Phoenix,Naomi Foner
Blue Rider Pictures,USA,Kevin Tenney,Comedy,R,Cathy Podewell,Joe Augustyn
Mac and Me Joint Venture,USA,Stewart Raffill,Adventure,PG,Christine Ebersole,Stewart Raffill
New Line Cinema,USA,Mick Garris,Comedy,PG-13,Scott Grimes,David Twohy
Weintraub Entertainment Group,USA,Richard Benjamin,Comedy,PG-13,Dan Aykroyd,Jerico
Lorimar Film Entertainment,USA,Ken Wiederhorn,Comedy,R,James Karen,Ken Wiederhorn
Universal Pictures,USA,Michael Apted,Biography,PG-13,Sigourney Weaver,Harold T.P. Hayes
Magellan Pictures,USA,Robert Bierman,Comedy,R,Nicolas Cage,Joseph Minion
White Lair,UK,Ken Russell,Comedy,R,Amanda Donohoe,Ken Russell
Universal Pictures,USA,Wes Craven,Fantasy,R,Bill Pullman,Wade Davis
Columbia Pictures Corporation,Sweden,Ken Annakin,Family,G,Tami Erin,Astrid Lindgren
Orion Pictures,USA,John Sayles,Drama,PG,John Cusack,Eliot Asinof
New Sky Communications Inc.,USA,Frank LaLoggia,Fantasy,PG-13,Lukas Haas,Frank LaLoggia
Laurenfilm,Spain,Pedro Almodóvar,Comedy,R,Carmen Maura,Pedro Almodóvar
Spacegate Productions,USA,Don Coscarelli,Action,R,James Le Gros,Don Coscarelli
United Artists,Japan,James Bridges,Drama,R,Michael J. Fox,Jay McInerney
Orion Pictures,USA,George A. Romero,Drama,R,Jason Beghe,Michael Stewart
Cornelius Productions,USA,George Roy Hill,Comedy,PG,Chevy Chase,Jay Cronley
American Entertainment Partners II L.P.,USA,Graham Baker,Action,R,James Caan,Rockne S. O'Bannon
Lorimar Film Entertainment,USA,Craig R. Baxley,Action,R,Carl Weathers,Robert Reneau
Esparza,USA,Robert Redford,Comedy,R,Rubén Blades,John Nichols
Lucasfilm,USA,Francis Ford Coppola,Biography,PG,Jeff Bridges,Arnold Schulman
Columbia Pictures Corporation,USA,Spike Lee,Comedy,R,Laurence Fishburne,Spike Lee
Hemdale,USA,Steve De Jarnatt,Action,R,Anthony Edwards,Steve De Jarnatt
Zanuck/Brown Productions,USA,Daniel Petrie,Adventure,PG,Don Ameche,David Saperstein
Producers Representative Organization,UK,Martin Donovan,Drama,R,Hart Bochner,Martin Donovan
Jack Rollins & Charles H. Joffe Productions,USA,Woody Allen,Drama,PG,Gena Rowlands,Woody Allen
Malpaso Company The,USA,Clint Eastwood,Biography,R,Forest Whitaker,Joel Oliansky
Cannon Entertainment,Australia,Fred Schepisi,Drama,PG-13,Meryl Streep,John Bryson
Rastar Pictures,USA,Mike Nichols,Comedy,PG-13,Matthew Broderick,Neil Simon
Cineplex-Odeon Films,USA,Oliver Stone,Drama,R,Eric Bogosian,Stephen Singular
